Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Joel Embiid,PHI,29,66,43,23,34.6,33.1,11.0,20.1,54.8,1.0,3.0,33.0,10.0,11.7,85.7,1.7,8.4,10.2,4.2,3.4,1.0,1.7,3.1,56.2,39.0,1.0,6.4
Luka Doncic,DAL,24,66,33,33,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8.0,3.6,1.4,0.5,2.5,56.8,36.0,10.0,1.9
Damian Lillard,POR,32,58,27,31,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4.0,4.8,7.3,3.3,0.9,0.3,1.9,49.1,16.0,2.0,1.8
Shai Gilgeous-Alexander,OKC,24,68,33,35,35.5,31.4,10.4,20.3,51.0,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4.0,4.8,5.5,2.8,1.6,1.0,2.8,50.4,3.0,0.0,2.2
Giannis Antetokounmpo,MIL,28,63,47,16,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,3.9,0.8,0.8,3.1,54.8,46.0,6.0,5.4
Jayson Tatum,BOS,25,74,52,22,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35.0,7.2,8.4,85.4,1.1,7.7,8.8,4.6,2.9,1.1,0.7,2.2,49.9,31.0,1.0,6.4
Stephen Curry,GSW,35,56,30,26,34.7,29.4,10.0,20.2,49.3,4.9,11.4,42.7,4.6,5.0,91.5,0.7,5.4,6.1,6.3,3.2,0.9,0.4,2.1,46.8,12.0,1.0,4.8
Kevin Durant,PHX,34,47,34,13,35.6,29.1,10.3,18.3,56.0,2.0,4.9,40.4,6.5,7.1,91.9,0.4,6.3,6.7,5.0,3.3,0.7,1.4,2.1,47.7,5.0,1.0,5.5
LeBron James,LAL,38,55,30,25,35.5,28.9,11.1,22.2,50.0,2.2,6.9,32.1,4.6,5.9,76.8,1.2,7.1,8.3,6.8,3.2,0.9,0.6,1.6,50.3,18.0,2.0,3.9
Donovan Mitchell,CLE,26,68,44,24,35.8,28.3,10.0,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,2.6,1.5,0.4,2.5,42.9,5.0,0.0,5.0
Devin Booker,PHX,26,53,34,19,34.6,27.8,9.9,20.1,49.4,2.1,6.0,35.1,5.8,6.8,85.5,0.9,3.7,4.5,5.5,2.7,1.0,0.3,3.0,42.7,5.0,0.0,4.7
Kyrie Irving,DAL,31,60,32,28,37.3,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1.0,4.1,5.1,5.5,2.1,1.1,0.8,2.8,44.8,5.0,0.0,3.7
Jaylen Brown,BOS,26,67,46,21,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,1.2,5.7,6.9,3.5,2.9,1.1,0.4,2.6,41.6,13.0,0.0,3.8
Trae Young,ATL,24,73,38,35,34.8,26.2,8.2,19.0,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3.0,10.2,4.1,1.1,0.1,1.4,44.6,40.0,0.0,1.4
Ja Morant,MEM,23,61,40,21,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,1.0,4.9,5.9,8.1,3.4,1.1,0.3,1.6,46.0,20.0,7.0,5.0
Zion Williamson,NOP,22,29,17,12,33.0,26.0,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,2.0,5.0,7.0,4.6,3.4,1.1,0.6,2.2,42.8,5.0,0.0,5.1
Anthony Davis,LAL,30,56,31,25,34.0,25.9,9.7,17.2,56.3,0.3,1.3,25.7,6.2,7.9,78.4,3.5,9.1,12.5,2.6,2.2,1.1,2.0,2.6,52.0,40.0,0.0,3.7
Lauri Markkanen,UTA,26,66,32,34,34.4,25.6,8.7,17.3,49.9,3.0,7.7,39.2,5.3,6.0,87.5,2.0,6.7,8.6,1.9,1.9,0.6,0.6,2.1,40.5,28.0,0.0,2.5
Julius Randle,NYK,28,77,44,33,35.5,25.1,8.5,18.6,45.9,2.8,8.3,34.3,5.2,6.9,75.7,1.8,8.1,10.0,4.1,2.8,0.6,0.3,3.0,43.2,40.0,0.0,2.2
De'Aaron Fox,SAC,25,73,44,29,33.4,25.0,9.3,18.2,51.2,1.6,5.0,32.4,4.7,6.0,78.0,0.5,3.6,4.2,6.1,2.5,1.1,0.3,2.4,41.1,11.0,0.0,2.4
Zach LaVine,CHI,28,77,38,39,35.9,24.8,8.7,18.0,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9,0.2,2.1,37.5,2.0,0.0,0.2
Brandon Ingram,NOP,25,45,23,22,34.2,24.7,9.0,18.6,48.4,1.4,3.6,39.0,5.3,6.0,88.2,0.5,5.0,5.5,5.8,3.3,0.7,0.4,2.6,40.1,6.0,2.0,2.1
Anthony Edwards,MIN,21,79,40,39,36.0,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4.0,5.3,75.6,0.6,5.2,5.8,4.4,3.3,1.6,0.7,2.4,41.9,9.0,0.0,1.2
DeMar DeRozan,CHI,33,74,37,37,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,2.1,1.1,0.5,2.5,40.5,6.0,0.0,0.9
Nikola Jokic,DEN,28,69,48,21,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6.0,82.2,2.4,9.4,11.8,9.8,3.6,1.3,0.7,2.5,55.7,58.0,29.0,9.3
Pascal Siakam,TOR,29,71,35,36,37.4,24.2,8.9,18.5,48.0,1.3,4.0,32.4,5.2,6.7,77.4,1.8,6.0,7.8,5.8,2.4,0.9,0.5,3.2,44.3,24.0,2.0,1.7
Jalen Brunson,NYK,26,68,40,28,35.0,24.0,8.6,17.6,49.1,2.0,4.7,41.6,4.8,5.8,82.9,0.6,3.0,3.5,6.2,2.1,0.9,0.2,2.2,38.8,5.0,0.0,2.2
Kawhi Leonard,LAC,32,52,33,19,33.6,23.8,8.6,16.8,51.2,2.0,4.8,41.6,4.7,5.4,87.1,1.1,5.4,6.5,3.9,1.7,1.4,0.5,1.6,41.6,4.0,0.0,4.2
Paul George,LAC,33,56,32,24,34.6,23.8,8.2,17.9,45.7,2.8,7.6,37.1,4.6,5.3,87.1,0.8,5.3,6.1,5.1,3.1,1.5,0.4,2.8,41.2,8.0,1.0,2.8
LaMelo Ball,CHA,21,36,13,23,35.2,23.3,8.2,20.0,41.1,4.0,10.6,37.6,2.8,3.4,84.3,1.2,5.3,6.4,8.4,3.6,1.3,0.3,3.3,44.8,17.0,3.0,-4.2
Bradley Beal,WAS,30,50,24,26,33.5,23.2,8.9,17.6,50.6,1.6,4.4,36.5,3.8,4.6,84.2,0.8,3.1,3.9,5.4,2.9,0.9,0.7,2.1,37.8,2.0,0.0,0.8
Kristaps Porzingis,WAS,27,65,27,38,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,1.8,6.6,8.4,2.7,2.1,0.9,1.5,3.0,42.4,20.0,0.0,1.2
Jimmy Butler,MIA,33,64,35,29,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35.0,7.4,8.7,85.0,2.2,3.7,5.9,5.3,1.6,1.8,0.3,1.3,42.8,11.0,0.0,0.7
Jalen Green,HOU,21,76,20,56,34.2,22.1,7.4,17.9,41.6,2.5,7.3,33.8,4.8,6.1,78.6,0.6,3.2,3.7,3.7,2.6,0.8,0.2,1.7,32.6,0.0,0.0,-5.9
Keldon Johnson,SAS,23,63,17,46,32.8,22.0,8.0,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,0.9,4.2,5.0,2.9,2.1,0.7,0.2,2.0,33.0,5.0,0.0,-7.8
Klay Thompson,GSW,33,69,38,31,33.0,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,1.8,0.7,0.4,1.9,32.0,2.0,0.0,2.4
Darius Garland,CLE,23,69,40,29,35.5,21.6,7.6,16.4,46.2,2.4,6.0,41.0,4.0,4.7,86.3,0.4,2.3,2.7,7.8,2.9,1.2,0.1,2.1,37.7,18.0,0.0,6.3
Bojan Bogdanovic,DET,34,59,15,44,32.1,21.6,7.3,14.9,48.8,2.5,6.0,41.1,4.5,5.1,88.4,0.6,3.2,3.8,2.6,2.3,0.6,0.1,1.9,29.8,0.0,0.0,-5.6
Desmond Bane,MEM,25,58,38,20,31.7,21.5,7.8,16.2,47.9,2.9,7.0,40.8,3.1,3.5,88.3,0.7,4.3,5.0,4.4,2.2,1.0,0.4,2.6,36.0,1.0,0.0,6.1
Kyle Kuzma,WAS,27,64,29,35,35.0,21.2,8.0,17.8,44.8,2.5,7.5,33.3,2.7,3.7,73.0,0.9,6.4,7.2,3.7,3.0,0.6,0.5,2.3,35.6,14.0,1.0,0.2
Terry Rozier,CHA,29,63,19,44,35.3,21.1,7.8,18.9,41.5,2.6,8.0,32.7,2.8,3.5,80.9,0.8,3.3,4.1,5.1,2.1,1.2,0.3,1.9,35.8,1.0,0.0,-4.6
Anfernee Simons,POR,24,62,27,35,35.0,21.1,7.5,16.9,44.7,3.4,9.1,37.7,2.6,2.9,89.4,0.3,2.3,2.6,4.1,2.1,0.7,0.2,2.3,30.9,0.0,0.0,-1.2
James Harden,PHI,33,58,39,19,36.8,21.0,6.4,14.5,44.1,2.8,7.2,38.5,5.4,6.2,86.7,0.7,5.4,6.1,10.7,3.4,1.2,0.5,1.9,46.2,36.0,5.0,4.8
CJ McCollum,NOP,31,75,38,37,35.3,20.9,7.8,17.9,43.7,2.8,7.2,38.9,2.4,3.2,76.9,0.7,3.6,4.4,5.7,2.4,0.9,0.5,2.0,36.6,6.0,0.0,0.8
Jordan Clarkson,UTA,31,61,30,31,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4.0,81.6,1.2,2.9,4.0,4.4,3.0,0.5,0.2,2.0,31.5,3.0,0.0,0.6
Karl-Anthony Towns,MIN,27,29,15,14,33.0,20.8,7.3,14.8,49.5,2.1,5.7,36.6,4.1,4.7,87.4,1.7,6.5,8.1,4.8,3.0,0.7,0.6,3.8,38.6,9.0,0.0,1.3
Tyrese Haliburton,IND,23,56,28,28,33.6,20.7,7.4,15.0,49.0,2.9,7.2,40.0,3.1,3.6,87.1,0.6,3.1,3.7,10.4,2.5,1.6,0.4,1.2,44.5,32.0,0.0,-0.6
Jerami Grant,POR,29,63,28,35,35.6,20.5,6.9,14.5,47.5,2.3,5.7,40.1,4.4,5.4,81.3,0.8,3.7,4.5,2.4,1.8,0.8,0.8,2.4,32.5,2.0,0.0,-0.6
Dejounte Murray,ATL,26,74,38,36,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,2.2,1.5,0.3,1.4,39.0,8.0,1.0,-0.8
Jordan Poole,GSW,24,82,44,38,30.0,20.4,6.7,15.6,43.0,2.6,7.8,33.6,4.4,5.1,87.0,0.4,2.4,2.7,4.5,3.1,0.8,0.3,2.6,30.5,1.0,0.0,-0.1
Bam Adebayo,MIA,25,75,40,35,34.6,20.4,8.0,14.9,54.0,0.0,0.2,8.3,4.3,5.4,80.6,2.5,6.7,9.2,3.2,2.5,1.2,0.8,2.8,39.7,31.0,0.0,1.6
Tyrese Maxey,PHI,22,60,39,21,33.6,20.3,7.3,15.2,48.1,2.7,6.2,43.4,3.0,3.6,84.5,0.4,2.6,2.9,3.5,1.3,0.8,0.1,2.2,30.6,0.0,0.0,4.0
Kelly Oubre Jr.,CHA,27,48,16,32,32.2,20.3,7.4,17.1,43.1,2.3,7.1,31.9,3.3,4.3,76.0,1.4,3.8,5.2,1.1,1.3,1.4,0.4,2.9,32.2,3.0,0.0,-5.8
Mikal Bridges,BKN,26,83,42,41,35.7,20.1,7.1,15.3,46.8,2.0,5.3,38.2,3.8,4.3,89.5,1.0,3.4,4.4,3.3,1.5,1.1,0.7,1.9,34.3,2.0,0.0,0.4
Tyler Herro,MIA,23,67,37,30,34.9,20.1,7.3,16.6,43.9,3.0,8.0,37.8,2.5,2.7,93.4,0.4,5.0,5.4,4.2,2.4,0.8,0.2,1.5,33.5,6.0,1.0,2.5
Louis King,PHI,24,1,1,0,28.8,20.0,8.0,13.0,61.5,4.0,8.0,50.0,0.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,4.0,28.8,0.0,0.0,2.0
Jamal Murray,DEN,26,65,43,22,32.8,20.0,7.3,16.0,45.4,2.6,6.6,39.8,2.8,3.3,83.3,0.7,3.2,4.0,6.2,2.2,1.0,0.2,1.6,35.5,5.0,1.0,4.6
Paolo Banchero,ORL,20,72,31,41,33.7,20.0,6.7,15.6,42.7,1.2,4.0,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,2.8,0.8,0.5,2.2,35.2,14.0,0.0,-3.0
Cade Cunningham,DET,21,12,3,9,33.3,19.9,7.8,18.7,41.5,1.4,5.1,27.9,3.0,3.6,83.7,1.0,5.2,6.2,6.0,3.3,0.8,0.6,2.8,37.3,3.0,0.0,-5.0
RJ Barrett,NYK,23,73,40,33,33.9,19.6,7.0,16.1,43.4,1.7,5.3,31.0,4.0,5.4,74.0,0.8,4.2,5.0,2.8,2.2,0.4,0.2,2.5,29.4,3.0,0.0,-0.8
Fred VanVleet,TOR,29,69,34,35,36.7,19.3,6.3,16.1,39.3,3.0,8.8,34.2,3.7,4.1,89.8,0.4,3.6,4.1,7.2,2.0,1.8,0.6,2.8,39.9,10.0,1.0,2.8
Jrue Holiday,MIL,33,67,50,17,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,1.2,3.9,5.1,7.4,2.9,1.2,0.4,1.7,38.2,16.0,0.0,7.2
Kevin Porter Jr.,HOU,23,59,18,41,34.3,19.2,6.6,15.0,44.2,2.4,6.5,36.6,3.5,4.5,78.4,1.3,4.0,5.3,5.7,3.2,1.4,0.3,2.6,36.0,9.0,1.0,-5.8
Domantas Sabonis,SAC,27,79,47,32,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,2.9,0.8,0.5,3.5,45.8,65.0,14.0,2.7
Jaren Jackson Jr.,MEM,23,63,41,22,28.4,18.6,6.6,13.0,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5.0,6.8,1.0,1.7,1.0,3.0,3.6,38.6,7.0,0.0,5.8
Franz Wagner,ORL,21,80,33,47,32.6,18.6,6.8,14.0,48.5,1.6,4.5,36.1,3.4,4.0,84.2,0.9,3.2,4.1,3.5,2.1,1.0,0.2,2.3,30.2,2.0,0.0,0.6
Devin Vassell,SAS,22,38,12,26,31.0,18.5,6.9,15.7,43.9,2.7,7.0,38.7,2.1,2.6,78.0,0.2,3.7,3.9,3.6,1.5,1.1,0.4,1.5,31.8,0.0,0.0,-7.8
Deandre Ayton,PHX,24,67,36,31,30.4,18.0,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3.0,76.0,2.6,7.4,10.0,1.7,1.8,0.6,0.8,2.8,34.7,36.0,0.0,-0.1
Myles Turner,IND,27,62,29,33,29.4,18.0,6.5,11.8,54.8,1.5,4.0,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,1.7,0.6,2.3,3.5,36.0,18.0,0.0,-0.8
D'Angelo Russell,LAL,27,71,39,32,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3.0,82.9,0.5,2.5,3.0,6.2,2.6,1.0,0.4,2.0,32.2,9.0,0.0,1.2
Nikola Vucevic,CHI,32,82,40,42,33.5,17.6,7.3,14.0,52.0,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11.0,3.2,1.7,0.7,0.7,2.2,38.3,51.0,1.0,-0.2
Michael Porter Jr.,DEN,25,62,41,21,29.0,17.4,6.4,13.2,48.7,3.0,7.3,41.4,1.5,1.9,80.0,1.0,4.5,5.5,1.0,1.1,0.6,0.5,1.9,27.7,3.0,0.0,6.7
Gary Trent Jr.,TOR,24,66,31,35,32.1,17.4,6.1,14.2,43.3,2.5,6.8,36.9,2.6,3.1,83.9,0.5,2.2,2.6,1.6,0.8,1.6,0.2,1.5,27.5,0.0,0.0,-0.8
Spencer Dinwiddie,BKN,30,79,41,38,34.5,17.3,5.8,13.3,43.8,2.3,6.2,36.9,3.4,4.2,81.2,0.4,3.1,3.4,6.5,1.8,0.8,0.3,2.4,32.8,9.0,0.0,-0.1
Andrew Wiggins,GSW,28,37,19,18,32.2,17.1,6.8,14.3,47.3,2.4,6.1,39.6,1.2,1.9,61.1,1.6,3.4,5.0,2.3,1.3,1.2,0.8,2.9,31.2,3.0,0.0,3.2
Norman Powell,LAC,30,60,31,29,26.1,17.0,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,1.7,0.8,0.3,2.1,24.9,0.0,0.0,-2.1
Buddy Hield,IND,30,80,35,45,31.0,16.8,5.9,13.0,45.8,3.6,8.5,42.5,1.3,1.6,82.2,0.8,4.2,5.0,2.8,1.7,1.2,0.3,2.0,29.7,3.0,0.0,-1.1
O.G. Anunoby,TOR,25,67,33,34,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5.0,2.0,2.0,1.9,0.7,3.0,31.7,2.0,0.0,2.0
Bennedict Mathurin,IND,21,78,33,45,28.5,16.7,5.3,12.2,43.4,1.3,4.0,32.3,4.8,5.8,82.8,1.1,3.0,4.1,1.5,1.9,0.6,0.2,2.1,24.2,0.0,0.0,-2.3
Christian Wood,DAL,27,67,33,34,25.9,16.6,5.9,11.5,51.5,1.6,4.2,37.6,3.2,4.2,77.2,1.3,6.0,7.3,1.8,1.8,0.4,1.1,2.5,30.9,12.0,0.0,-0.7
Josh Giddey,OKC,20,76,34,42,31.1,16.6,7.1,14.7,48.2,1.0,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,2.8,0.8,0.4,1.9,36.0,28.0,4.0,-1.4
Aaron Gordon,DEN,27,68,45,23,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,2.4,4.1,6.6,3.0,1.4,0.8,0.8,1.9,31.8,11.0,0.0,7.6
Jaden Ivey,DET,21,74,16,58,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1.0,2.9,3.9,5.2,3.2,0.8,0.2,3.3,28.7,8.0,0.0,-8.7
Evan Mobley,CLE,22,79,48,31,34.4,16.2,6.6,12.0,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9.0,2.8,1.8,0.8,1.5,2.8,36.2,24.0,0.0,4.3
RaiQuan Gray,BKN,23,1,0,1,35.1,16.0,6.0,12.0,50.0,2.0,5.0,40.0,2.0,2.0,100,3.0,6.0,9.0,7.0,4.0,0.0,1.0,5.0,36.3,0.0,0.0,-14.0
Brook Lopez,MIL,35,78,57,21,30.4,15.9,6.1,11.5,53.1,1.7,4.7,37.4,1.9,2.4,78.4,2.0,4.7,6.7,1.3,1.4,0.5,2.5,2.6,33.3,11.0,0.0,5.1
Russell Westbrook,LAC,34,73,36,37,29.1,15.9,5.9,13.6,43.6,1.2,3.9,31.1,2.8,4.3,65.6,1.2,4.6,5.8,7.5,3.5,1.0,0.5,2.2,35.1,24.0,4.0,-0.3
P.J. Washington,CHA,24,73,24,49,32.6,15.7,5.9,13.4,44.4,2.0,5.9,34.8,1.7,2.4,73.0,1.0,3.9,4.9,2.4,1.5,0.9,1.1,2.6,29.6,3.0,0.0,-5.1
Cameron Johnson,BKN,27,42,25,17,28.6,15.5,5.3,11.3,47.0,2.5,6.1,40.4,2.4,2.9,84.2,0.8,3.6,4.4,1.9,0.9,1.2,0.3,2.0,27.2,1.0,0.0,3.7
De'Andre Hunter,ATL,25,67,35,32,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35.0,2.6,3.1,82.6,0.7,3.6,4.2,1.4,1.2,0.5,0.3,3.0,23.7,1.0,0.0,-0.3
Skylar Mays,POR,25,6,1,5,31.5,15.3,5.7,11.3,50.0,2.0,4.3,46.2,2.0,2.2,92.3,0.3,2.8,3.2,8.3,1.7,1.0,0.2,1.8,33.5,1.0,0.0,-12.3
Scottie Barnes,TOR,21,77,38,39,34.8,15.3,6.0,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,2.0,1.1,0.8,2.2,34.1,15.0,1.0,2.3
Wendell Carter Jr.,ORL,24,57,26,31,29.6,15.2,5.6,10.8,52.5,1.4,3.9,35.6,2.5,3.4,73.8,2.1,6.6,8.7,2.3,1.9,0.5,0.6,2.8,30.6,21.0,0.0,-0.7
Kevin Huerter,SAC,24,75,44,31,29.4,15.2,5.6,11.5,48.5,2.7,6.8,40.2,1.3,1.7,72.5,0.6,2.8,3.3,2.9,1.3,1.1,0.3,2.4,26.5,0.0,0.0,3.0
Khris Middleton,MIL,31,33,25,8,24.3,15.1,5.4,12.3,43.6,1.5,4.9,31.5,2.8,3.1,90.2,0.8,3.4,4.2,4.9,2.2,0.7,0.2,2.1,28.0,4.0,0.0,4.0
Harrison Barnes,SAC,31,82,48,34,32.5,15.0,4.6,9.6,47.3,1.6,4.3,37.4,4.3,5.0,84.7,1.1,3.4,4.5,1.6,1.0,0.7,0.1,1.3,24.1,0.0,0.0,3.1
Immanuel Quickley,NYK,24,81,47,34,28.9,14.9,5.2,11.6,44.8,2.1,5.6,37.0,2.5,3.1,81.9,0.7,3.4,4.2,3.4,1.2,1.0,0.2,2.0,27.3,4.0,0.0,3.9
Malcolm Brogdon,BOS,30,67,46,21,26.0,14.9,5.3,10.9,48.4,2.0,4.4,44.4,2.4,2.7,87.0,0.6,3.6,4.2,3.7,1.5,0.7,0.3,1.6,26.9,0.0,0.0,2.7
Alperen Sengun,HOU,20,75,18,57,28.9,14.8,5.9,10.7,55.3,0.3,0.8,33.3,2.7,3.8,71.5,3.2,5.8,9.0,3.9,2.6,0.9,0.9,3.4,34.5,29.0,2.0,-3.8
Tobias Harris,PHI,30,74,47,27,32.9,14.7,5.7,11.4,50.1,1.7,4.4,38.9,1.5,1.7,87.6,0.9,4.8,5.7,2.5,1.2,0.9,0.5,2.0,28.5,7.0,0.0,4.0
Gordon Hayward,CHA,33,50,20,30,31.5,14.7,5.5,11.6,47.5,1.0,3.2,32.5,2.6,3.2,81.1,0.7,3.6,4.3,4.1,2.0,0.8,0.2,1.4,27.3,2.0,0.0,-2.2
Trey Murphy III,NOP,23,79,39,40,31.0,14.5,4.9,10.1,48.4,2.6,6.3,40.6,2.2,2.4,90.5,0.7,2.8,3.6,1.4,0.8,1.1,0.5,2.0,25.2,1.0,0.0,0.5
Tim Hardaway Jr.,DAL,31,71,37,34,30.3,14.4,4.8,11.9,40.1,3.0,7.7,38.5,1.8,2.3,77.0,0.3,3.2,3.5,1.8,0.8,0.7,0.2,1.7,23.1,0.0,0.0,2.3
Dillon Brooks,MEM,27,73,46,27,30.3,14.3,5.4,13.6,39.6,2.0,6.0,32.6,1.6,2.1,77.9,0.6,2.7,3.3,2.6,1.4,0.9,0.2,3.3,24.1,0.0,0.0,2.8
